City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
238,Fort-Shevchenko,KZ,81.57,Clouds,44.51,50.26,Oasis hotel Bautino
240,Nanyang,CN,81.18,Clouds,32.99,112.53,Wolong Memory Hotel
242,Auki,SB,77.13,Clear,-8.77,160.7,Auki Motel
244,Nichinan,JP,77.11,Clear,31.6,131.37,Guest House Aki
246,Manadhoo,MV,83.03,Rain,5.77,73.38,Vevu Guesthouse
250,Sao Gabriel Da Cachoeira,BR,84.2,Clouds,-0.13,-67.09,Alarne - Área De Lazer Do Alto Rio Negro
255,Aguimes,ES,84.99,Clouds,27.91,-15.45,Hotel Villa de Aguimes
256,Vila,PT,80.01,Clouds,42.03,-8.16,Hotel Castrum Villae
257,Usak,TR,87.8,Clear,38.5,29.42,
260,Cajazeiras,BR,89.15,Clouds,-6.89,-38.56,Oasis Hotel
262,Luganville,VU,77.0,Clouds,-15.53,167.17,The Espiritu Hotel
264,Ponta Do Sol,PT,77.0,Clouds,32.67,-17.1,Hotel do Campo
265,Padang,ID,78.15,Clouds,-0.95,100.35,Mercure Padang
266,Yairipok,IN,75.25,Clouds,24.67,94.07,Ningthounai
270,Tual,ID,77.56,Clouds,-5.67,132.75,Grand Vilia Hotel
271,Kuminskiy,RU,76.96,Clear,58.67,66.57,
273,Coatzintla,MX,84.2,Clear,20.48,-97.45,Poza Rica Inn Hotel
274,Kazanskoye,RU,77.34,Clouds,55.64,69.23,Uyutnaya
275,Grand-Santi,GF,81.36,Clouds,4.25,-54.38,Hotel La Villa Couacou
279,Solwezi,ZM,75.87,Clouds,-12.17,26.39,Country Lodge Solwezi
286,Gainesville,US,90.0,Clear,29.65,-82.32,Wyndham Garden Gainesville
290,Prattville,US,90.0,Clear,32.46,-86.46,InTown Suites Extended Stay Prattville AL
293,Makasar,ID,75.2,Clouds,-5.14,119.42,Aryaduta Makassar
294,Borovskoy,KZ,78.15,Clear,53.8,64.15,
295,Pervomayskoye,RU,82.42,Clouds,43.92,46.71,
296,Omboue,GA,75.4,Clouds,-1.57,9.26,Hotel Olako
299,Misasi,TZ,84.2,Clear,-3.0,33.08,
300,Malkangiri,IN,81.39,Rain,18.35,81.9,Girls' Hostel
301,Jardim,BR,86.63,Clear,-21.48,-56.14,Hotel Estância
302,Vila Franca Do Campo,PT,75.2,Clouds,37.72,-25.43,Pestana Bahia Praia
303,Guerrero Negro,MX,76.69,Clouds,27.98,-114.06,"Casa Laguna, Bed & Breakfast"
